"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12"
"YJL065C",2.94356253634456,0.664202076605128,0.346001038630954,-0.247492499751113,-0.777257039502402,0.0440748673257859,-0.865190373361966,-0.242956977820965,0.260550729946624,0.541700513808264,0.0217404157202269,2.28705943072782e-14
"YOL141W",2.87277774835293,-1.36219632715142,0.508190034115839,0.631576034848376,0.0437404979384758,0.415259055006283,0.0461182205305888,0.298171876525443,0.00909323052265022,0.149689551297854,-0.130126615737767,1.2490009027033e-15
"YPR086W",-3.06411466180882,0.0554403166785126,0.34873243839431,0.753700174496273,0.699237972584634,0.344956606709978,0.198869972588683,0.172051482990707,-0.316190329041889,0.198646648572657,-0.253527222414207,-1.3988810110277e-14
"YBR122C",2.9407549587979,-0.417265074302492,-0.896829783136258,-0.558210519086069,0.0337007904881112,0.193856437959407,0.0722683275486955,0.526250361314733,-0.471882574306271,-0.679306901016008,0.0133008158349829,1.23234755733392e-14
"YBR271W",3.30023557030811,-0.205473885094976,-0.145064391120499,0.020094911321517,-0.0206912685914168,-0.116203758683378,0.0302489760218538,0.0251765612127227,0.0408201979928452,-0.167335918842002,-0.0804419514928633,-1.00475183728577e-14
"YBR279W",2.92116926675701,0.183829618119813,1.11209553918525,-0.234600374057323,0.894887452627568,-0.00344970734156651,-0.0772930673863566,0.180525004960134,-0.0819725679693432,0.560452979280465,-0.0546430840820073,1.63757896132211e-15
"YHR095W",1.54608302531991,-0.495535119685845,0.609971347592779,1.60584913334159,0.0452663480038445,-0.100885860717833,0.782695881508591,-1.87902660685928,-0.292320402913323,1.03484818043468,0.462332981804775,3.88578058618805e-16
"YMR221C",-3.23240878629717,-0.140587740189632,-0.236433552270928,0.382515805134201,0.0441419089509175,-0.170319004702479,-0.189158587787605,-0.451308768121242,-0.0820726325115325,0.125427165165397,0.107639200460252,8.68749516769185e-15
"YJL221C",-3.14255045239297,-0.024222428679391,0.357456892910315,0.497575397958921,0.24729609440168,-0.57636459138806,0.431404005709934,0.390580168490109,-0.100472982686848,-0.0357625806111729,0.151464769777854,-1.02140518265514e-14
"YER130C",-3.00782173778325,0.366541391526759,0.80040819796609,0.361754574849063,0.50234126159683,-0.786777306760756,0.361692709869607,0.118651022137979,-0.130512571570794,-0.176743087755908,-0.108086559417948,-1.0547118733939e-14
"YBR155W",1.58676953983446,-1.84786009135166,1.20566067214945,0.413533215169881,-0.0174547948905254,1.61760952907731,-0.185783132993327,0.150851791307897,-0.786134513552271,0.0541551035813602,-0.518311508767334,-6.30051566474776e-15
"YDR363W",2.64614009430053,-1.35222759430267,1.11262109068794,0.347568383336474,0.452093941562411,0.473542657638423,0.106813058727287,0.227193091376379,0.454489044161622,-0.0156264134737161,-0.42638710065993,-1.25455201782643e-14
"YGR266W",-2.67326938019602,-0.39983918207265,-1.04543997782833,-0.457049293587362,1.35421820855031,0.167491093522767,-0.147990918948503,0.204581294708325,-0.233583607494248,0.458943018106598,0.0520100889180672,2.51465515077598e-14
"YLR443W",2.9599111966372,0.214740654692738,-1.33403616904509,0.322021542225758,0.278408439919368,-0.187565316042824,0.191603758651044,0.00384758167759508,0.199890143747062,-0.0351994933128128,-0.00958716403766313,-1.52100554373646e-14
"YPL147W",-3.28117068516715,-0.171049014848167,0.197341400861321,-0.0887784727241717,0.0600779584775543,0.00780506748855836,0.19900786019727,0.0478071953848921,0.230195462875824,0.18370933259608,-0.1340217020721,-1.16573417585641e-15
"YAL034C",-3.31073325065626,-0.043303094188342,0.0753969945979018,0.0789451278857231,-0.0622046787041708,0.0550216043794313,-0.0703308523557397,0.0367368886893966,0.0338251106348982,0.0383514328219965,0.031080279175135,3.66373598126302e-15
"YBR067C",-1.52716320148402,0.725435047092849,0.592886594331616,2.10336465939407,-1.30978644831431,0.517761269663747,0.531233718630999,0.123602728805812,1.08212111670533,-0.120034084863614,-0.0660695786124361,-1.43218770176645e-14
"YCR095C",-3.03511082059468,-0.145217301595532,0.459690640058583,-0.871259631154631,0.148799418609995,0.0869909959170767,0.0945961434139063,0.803044791829849,0.302316963304678,-0.0527219888165448,-0.0883836058517438,-2.09832151654155e-14
"YLR270W",-3.30445971314827,0.200632919891656,-0.00855245602748324,-0.0331258397272009,0.0373992510969879,-0.00502953695294356,0.0666802047085666,0.0229548747583886,0.0463561515676187,-0.0445398036435052,0.0463968454186743,1.38777878078145e-15
"YPR084W",-3.15849688670477,0.323200675450303,-0.23637135337101,0.393043806018452,0.387405037284829,0.145815489921115,-0.45259000838831,0.300197459362588,-0.0367595745121926,-0.00374278582464371,0.403112519150069,2.57571741713036e-14
"YBR184W",0.296067926162732,-0.019736341112538,1.35382025746243,-0.0149580483700462,-1.53981429704344,1.1920938507517,-0.0647585707599598,-1.31598404461233,0.745244757824173,-1.31820335587486,-1.19741342838424,-3.60822483003176e-14
"YMR113W",-0.184469230531237,2.36150360499903,-0.516863180985444,-0.454309076264413,-0.868203981595672,0.429056320188101,0.902536432507533,1.4860010209865,-0.618883908081116,-0.713069003197748,-0.176107020733074,-3.07809333577325e-14
"YGR035C",2.00576405902572,-0.370706792625902,-1.74445511431075,0.438387334720965,-0.617320896629794,-0.48726875118583,-1.65201935631935,-0.0182643643287265,0.16194988515494,-0.268367717031383,0.266496331740977,2.43693953905222e-14
"YDL222C",-3.27943621047425,0.00282664467691218,-0.319085675365639,0.0861505110191702,0.154036910323562,0.0268263312555918,-0.0706580384669245,-0.123748269817954,0.0249643774876336,0.187021844830857,0.0239656154119249,4.71844785465692e-15
"YCL008C",-1.15090372207627,0.70285165574322,-2.0292350845931,-0.0632930361264494,-0.55008618146642,1.31610491071594,-0.93105963872259,0.191783961192677,0.66289974661537,1.21369238011066,0.0545784344682533,3.54993812123894e-14
"YEL065W",-3.21062458397048,0.32096781902241,-0.361607014587956,-0.205483314368571,-0.0142247874366027,0.138459836624322,-0.52258041996086,0.164966045222618,-0.13731382964362,0.0649349679889691,0.106447264406099,4.32986979603811e-15
"YNL335W",-1.34634710635888,1.37309821286442,-0.864571663425121,0.199525752951928,-1.59793232957585,-0.0233194934248642,-0.752305821682152,-1.03575020664223,-0.354976580555481,1.45005657634523,0.346827845065424,3.50275364269237e-14
