Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XM_072077642.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817049.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817052.1	2.61895	1.80058	1.62924	1.30218	1.14351	1.97722	2.46379	2.45505	1.71649	2.52508	2.69104	2.17602	2.76756	2.75807	2.16378
XM_072082776.1	0.091118	0	0	0.056724	0.260383	0.2353	0	0.056339	0.081363	0.181143	0.287364	0.264628	0.190407	0.372235	0.144436
XR_011817055.1	0	0	0	0.337104	0	0.054497	0	0	0.354463	0	0	0	0	0	0
XR_011817058.1	0	0.812728	2.86837	0.916046	1.46809	0.931351	0.082215	0	0	0.504368	0.172442	0.425033	0.095751	0.098677	0
XR_011817059.1	0.273925	0.737078	0.592331	0.620278	0.638301	0.556793	1.46144	1.91296	1.40861	0.766059	1.28233	1.25594	0.450425	0.518775	1.19467
XM_027206102.2	67.0767	54.4025	78.6479	24.1018	43.5776	34.5646	194.572	117.673	39.1165	41.5028	42.2656	73.9005	93.4775	73.6522	39.9443
XR_011817074.1	0.715581	0	0	0.38926	0.447918	0.479235	0.862333	0.219025	0.543242	0	0.6845	0.822123	0.688649	1.14606	0.624532
XR_011817075.1	0.121199	0.239514	0.06299	0.119965	0.23371	0.106354	0.368637	0.27045	0.182514	0.288924	0.139017	0.134437	0.279139	0.295024	0.251717
XR_011817077.1	0	0	0	0	0	0	0	0.071535	0	0	0	0	0	0	0
XR_011817082.1	0.041842	0.055202	0.026684	0.029637	0.020186	0.052006	0.04925	0.03286	0.0478	0.064677	0.031678	0.037296	0.017867	0.017345	0.012394
XR_011817092.1	1.50987	0.73771	1.1608	0.942012	1.3697	2.43399	0.797854	1.20582	1.31638	2.31277	2.00188	1.842	1.46618	2.19938	1.50883
XR_011817093.1	0	0	0	0	0	0	0	0	0	0	0	0.118692	0.119053	0	0
XR_011817095.1	0	0.081209	0.043686	0.043333	0.075812	0	0	0	0.045136	0.057955	0.119	0.044597	0	0	0
XR_011817096.1	0.066553	0.093835	0.388532	0.04078	0.825395	0.181328	0.073801	0.196773	0.865361	0.036569	0	0.143124	0.338476	0.049629	0.726574
XR_011817110.1	0	0.078012	0	0	0.018284	0.073243	0	0	0.021697	0	0.057012	0.06449	0	0.07345	0
XM_072071550.1	43.2907	43.0885	32.2604	21.7518	39.2915	36.1249	43.3418	35.9819	25.1091	47.3577	30.9754	49.6401	57.1973	46.2779	21.4588
XR_011817112.1	0.163475	0.172868	0.391999	0.118291	0.191792	0.277837	0.204046	0.168889	0.034977	0.178608	0.231364	0.225377	0.158545	0.141833	0.105767
XM_027208823.2	2.42479	0	0	0.972119	1.90507	1.31129	2.29411	0.351579	0	2.79331	2.66983	1.1828	1.61159	2.74628	2.7039
XR_011817119.1	0	3.91274	1.71214	1.72608	1.99128	2.11151	0.237166	0.214058	0.716096	2.96202	1.88293	2.2893	0.081204	0.632132	0.084611
XM_027258769.2	5.61746	6.88296	4.98904	3.36734	2.87164	3.40597	6.88278	6.75877	5.37575	6.67693	4.65991	4.21183	7.29698	6.84837	3.82591
XR_011817120.1	0.140316	1.9255	1.41366	0.336989	1.05718	1.8161	0.264105	0.038581	0	0.788494	0.417859	1.38571	0.087784	0.513387	0
XM_072074252.1	0	0	0	0	0	0	0	0	0	0.132755	0	0	0	0	0
XR_011817124.1	0	0.066705	0	0	0	0	0	0	0.037087	0	0	0	0	0	0
XR_011817125.1	0.916099	0.704879	1.49513	0.408878	1.37946	0.815578	0.454045	1.30885	0.609513	1.12169	2.22296	1.19708	0.535687	0.857072	0.550586
XR_011817126.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817127.1	0	0	0.017967	0.017771	0.062222	0	0.10775	0	0.073824	0	0	0.091467	0.055759	0	0.022296
XM_027218146.2	1.75625	1.94274	0.802909	2.78222	1.63932	0.945443	1.38414	1.62952	2.67569	0.773897	0.567049	1.38556	2.49669	1.53563	1.07219
XR_011817128.1	5.92496	7.87037	5.24729	4.38478	4.55509	5.27993	4.37724	4.78672	6.59052	4.90566	5.90334	5.96162	4.98812	8.13227	4.75272
XR_011817129.1	0.269126	1.14539	0.289835	0.514857	0.436688	0.688895	0.042409	1.08459	0.30132	1.01655	1.0335	0.3075	0.140271	0.211921	0.608293
XR_011817144.1	3.90662	4.31242	3.69906	3.15985	3.5666	3.12041	5.06361	4.06058	4.95132	5.64685	4.21573	4.02827	4.12172	3.98003	3.29443
XR_011817146.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027223363.2	14.1878	9.22681	11.6853	7.40242	11.8421	12.8989	12.3739	10.6611	8.49976	12.6093	12.558	14.2909	13.7074	17.4925	10.1049
XM_072072543.1	2.7676	0	0.80708	1.26096	2.133	2.5831	2.30903	2.20725	2.03475	1.57395	0	2.32018	4.19744	2.01818	0.939211
XR_011817147.1	0	0	0	0	0	0.02099	0	0	0	0	0	0	0	0	0
XM_072073032.1	0.302849	0.482723	0.586856	0.276377	0.348408	0.127398	0.33307	0.474966	0.158273	0.433173	1.65861	0.556243	0.251095	0.304737	0.242236
XR_011817151.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817152.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817154.1	19.2325	20.655	16.2582	11.9761	21.4536	20.29	17.1222	19.4849	18.2856	17.6577	22.1459	19.609	16.546	19.7302	18.1961
XR_011817162.1	0	0	0	0	0	0	0.117032	0.067564	0	0.282605	0.060833	0	0.320448	0.041265	0.130453
XM_072049672.1	0.728967	0.155342	0.335117	0.464907	0.203389	0.155325	0.561228	0.75873	0.345493	0.309282	0.273608	0.307579	0.831597	0.876904	0.416649
XM_027207109.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817164.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_072063200.1	0.06985	0.212607	0.164465	0.032568	0.113986	0.133187	0.021141	0.014813	0	0.279066	0.06709	0.066911	0.558626	0.057242	0.122292
