Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XM_072057749.1	238.55	226.47	196.238	189.169	271.774	224.474	212.984	269.895	256.413	158.525	162.492	203.721	244.413	372.266	242.089
XM_027233893.2	2	3	0	1	15	4	7	8	0	0	2	2	28.759	1	0
XM_027242250.2	7	25	36	1	17	12	70.046	8	2	93	0	5	6	1	1
XM_072046315.1	41.621	57.253	0	20.667	0	97.89	0	72.387	73.963	84.764	35.033	17.932	13.185	55.485	43.399
XM_027233137.2	435.627	549.291	475.775	503.338	679.006	630.116	424.34	611.073	415.341	233.841	596.012	678.849	648.212	673.212	515.111
XM_072054985.1	108.655	20.678	52.922	24.456	0	28.632	90.512	0	0	56.75	21.323	0	38.787	99.357	74.667
XM_027228818.2	10950	18120.4	14902.5	10524	16190.8	13466.3	9452.28	11974.4	10945.8	13234.8	11409.9	14905.5	13617.2	11889	10379.4
XM_027233141.2	5690	5801.77	5213.9	4585.62	6881.47	4918.21	5146.28	7197.11	5211.97	3427.09	4037.62	5684.32	6208.66	7754.05	4818.79
XR_011821422.1	40.482	107.606	92.547	59.453	87.81	85.411	41.314	53.155	69.167	94.059	96.157	75.07	32.65	42.813	38.813
XM_072084028.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027250806.2	8636	8755.24	11032.9	7856.22	10964.2	8130.28	6608	9248.67	6769.2	7039.42	6911.76	9115.2	9761.09	8714.45	8516.48
XM_072060639.1	3.376	0	2.02	12.805	0	4.82	28.399	16.241	3.97	0	0	0	8.823	23.622	4.181
XM_027233152.2	3987	4091.57	3423.31	3206.99	4417.56	4157.8	3694.58	4385.48	3900.47	2635.69	3653.3	4703.18	3678.66	5058.01	3233.56
XM_027238773.2	1154	1115.34	691.301	790.746	1174.35	966.147	781.764	1250.56	1405.01	652.861	600.22	1021.66	915.002	1230.72	1069.58
XM_027233160.2	1461	2173.28	1561.45	1569.61	1854.33	1475.88	1505.36	1936.01	1778.09	1879.47	1402.89	2210.75	1778.45	2428.41	1103.65
XM_027233175.2	2233.37	2853.7	2194.32	1834.67	2767.29	2487.69	2228.84	2805.93	2421.6	1697.35	2238.53	2781.5	2325.71	2745.05	1594.17
XM_072052826.1	4781	4785.39	4187.45	3901.82	4568.79	5183.07	5342.7	6676.91	4197	5704.96	5905.99	6535.28	6587.15	7185.86	3594.51
XM_027233184.2	4080	4735.06	4262.07	4289.17	4736.32	4059.16	3934.29	3969.6	3295.55	2704.45	4068.84	4586.49	3888.49	5439.97	2379.62
XM_027227663.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
XM_072059204.1	5888.98	7824.52	6439.64	5088.72	8945.99	5898.38	5801.92	9567.2	8042.67	4412.1	4801.13	6340.55	5347.74	7500.14	6296.04
XM_027258754.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027256063.2	1008	1055.68	1120.96	487.732	1074.96	598.267	575.232	918.09	958.812	518.091	604.226	1184.45	758.139	1061.08	624.023
XM_027233195.2	3201	3969.5	3142.31	3008.59	4900.66	2703.01	2212.15	4178.78	2448.68	1498.78	2353.76	3661.1	2910.27	3571.24	2484.08
XM_027236807.2	12372	16073	11177.5	10282	13431.4	11171.7	11613.8	13958.8	8426.82	10388	9094.96	15829.5	11568.1	13325.6	8514.77
XM_072078783.1	250	219.483	323.538	195.846	263.004	181.132	362.036	403.512	202.207	267.784	154.089	227.085	317.902	319.369	213.447
XM_027230488.2	0	14.718	0	0	0	23.064	0	22.266	20.246	0	20.087	33.34	28.702	26.281	24.294
XM_027256646.2	556.76	909.242	784.869	585.576	948.515	561.685	590.846	654.72	582.228	442.798	735.176	780.378	654.893	716.028	394.059
XM_027205299.2	52	101.323	9	120.906	33	11.066	28	27	73.188	12.005	25	47.167	25.007	68	11
XR_011814956.1	3.926	6.394	23.501	3.539	28.48	6.693	5.424	14.397	7.162	2.225	9.615	14.366	0	10.575	1.047
XM_027205614.2	917	1077.05	1129.91	692.657	1330.57	806.012	729.082	1151.94	860.488	834.479	674.548	904.258	996.292	1047.87	987.574
XM_027233198.2	2962	2757.24	2738.45	2156.29	2850.82	2191.84	3746.51	4437	3123.65	2397.44	1955.09	2750.16	3506.7	4459.92	2646.41
XM_027233213.2	80	34	8	21	16	10	57	59.887	115.501	4	17	23.622	43.989	107	31.478
XM_072071248.1	201.112	156.85	160.822	183.82	144.737	106.5	153.674	189.026	200.525	91.243	102.764	154.36	262.281	313.706	143.117
XM_027228923.2	963	1096.04	949.517	776.23	825.363	695.377	793.507	747.441	839.134	524.431	771.441	944.126	695.012	1574.79	509.749
XR_003450408.2	4157.9	4146	5946.57	3416.95	6568.69	2687.76	11153.2	12015.3	4306.74	1346.68	1417.66	2767.48	4502.68	4652	4156.83
XM_027233245.2	1310	1931.4	2515.06	1519.47	2281.27	1415.03	1346.08	2030.93	1385.71	1967.09	1191.54	1698.25	2103.64	2253.51	1206.78
XM_027256524.2	1681	1573.93	1966.44	1387.13	1508.08	1281.15	1737.97	2384.51	1225.22	1932.38	1101.97	1582.53	2207.83	2652.64	1409.34
XM_027263964.2	3417.78	4473.95	3735	3049.43	4371.97	2772.73	3444.97	5515.37	4441.01	2613.53	2303.67	3459.91	4074.5	5315.72	3703.72
XM_072045845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_072056739.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_072053160.1	1237.98	1604.84	1362.49	1160.54	1722.96	1253.19	859.064	1341.07	1210.54	981.858	1024.05	1391.87	1419.44	1399.55	1339.61
XM_072065391.1	176	261.839	90.281	121.093	129.143	87.041	218.755	177.014	152.016	74.937	100.939	146.049	86.346	248.804	105.218
XM_072057619.1	0	0	0	0	0	0	0	0	0	23.203	13.294	79.415	0	0	0
XM_027233278.2	87.599	116.301	106.007	84.553	143.331	74.879	105.605	147.642	96.372	94.039	76.408	90.231	93.962	110.739	149.48
XM_072084492.1	1957.99	2355.21	3095.53	1700.62	2566.22	1831.42	1686.69	2390.85	1445.87	1875.7	1359.27	2314.82	2730.38	2517.13	1574.16
XM_027223539.2	2990	3598.93	3894.51	2678.09	4217.25	2940.97	3275.35	3772.51	3112.12	2582.23	1913.77	3224.49	3851.24	3647.45	3009.76
XM_027234931.2	234.036	465.98	288.893	161.47	342.195	208.204	193.624	319.771	133.53	262.721	234.54	614.265	382.829	472.706	259.816
XM_027233281.2	1692	1398.7	743.808	1515.39	973.684	1024.59	1708.33	1185.16	2105.68	389.485	839.609	1265.64	1730.25	3190.02	984.455
XR_011820714.1	7	6	5	4	0	3	2	8	1	1	10	9	6.045	5	0
XM_072065907.1	54.132	5.801	132.691	96.989	29.751	32.785	55.463	48.37	27.633	49.904	38.243	85.266	55.921	33.265	29.251
XM_027227644.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027224247.2	710.263	732.981	892.744	789.778	870.675	690.985	594.756	1154.37	665.251	685.964	470.824	721.662	723.493	727.078	966.425
XM_072080287.1	256.961	295.989	152.72	113.184	265.971	102.756	407.565	522.099	159.052	265.312	96.39	189.173	487.713	541.358	274.991
XM_027233293.2	313.604	245.793	194.503	58.73	80.546	182.533	223.893	115.9	159.287	161.521	182.174	188.197	240.279	106.689	111.47
XM_027233294.2	658.427	624.313	604.593	720.843	1122.41	565.433	555.385	860.154	648.294	453.117	518.004	672.551	582.468	774.082	615.473
XR_011815731.1	28.394	44.004	47.414	28.112	34.091	28.126	41.758	44.034	29.675	22.985	17.396	42.103	36.884	16.861	43.94
XM_027214492.2	184	198.241	275.374	125.122	121.012	355.668	449.074	183.536	69.248	4055.73	159.778	219.216	243.343	687.125	35
XM_072045210.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817702.1	395	603.486	560.311	350.227	409.464	323.201	457.659	576.996	315.429	722.894	294.567	335.325	429.017	616.995	202.869
XM_027222233.2	0	1	1	0	2	0	0	0	0	0	1	0	0	1.002	0.981
XM_027208968.2	3699	4866.04	3949.62	3126.89	3779.75	3221.38	3379.62	4593.65	3106.32	4381.63	3450.45	4344.5	4632.55	4739.4	3081.93
XR_011815648.1	9.939	0	4.26	6.561	5.247	23	6.455	1.713	0	0	10.485	11.554	7.542	6.059	9.525
XM_027218360.2	343.61	365.075	258.933	187.164	444.74	306.525	134.191	98.239	295.261	69.893	163.441	332.853	338.576	255.402	194.788
XM_072057229.1	787	780.209	694.273	696.748	751.323	548.027	493.143	1127.63	929.159	703.199	465.073	644.425	914.929	1101.46	976.546
XM_027241544.2	1166.07	2120.07	1271.3	803.228	1542.72	1399.79	614.037	1012.38	926.768	1544.88	1302.93	1570.14	880.884	856.872	928.826
XM_027233331.2	408	298.052	216.058	241.123	188.112	229.773	175	224.825	250.996	101.668	163.686	223.347	201.03	245.506	226.244
XM_072083259.1	2	0	0	2	0	0	0	1	0	0	0	0	0	2	0
XM_027244311.2	46	102	114.393	57.025	118	55.042	74	71.434	44.174	123.616	49.008	195.161	47	112.833	44.064
XM_072057334.1	572.288	663.874	799.893	539.106	616.398	463.91	415.202	670.104	517.213	638.435	410.689	655.235	705.324	946.401	413.943
XM_072046122.1	158.219	320.042	333.115	177.23	273.373	241.663	209.044	234.537	128.733	270.797	302.789	294.831	213.167	267.983	86.837
XM_027218832.2	140.142	93.149	148.068	35.598	123.326	66.772	152.686	303.486	161.411	83.915	68.773	133.926	145.01	286.056	56.69
XM_072050596.1	3.991	0	0	0	5.999	2.972	0	0	0	0	1	1	0	3	0
XM_027221266.1	0	0	0	1	0	0	0	0	0	0	0	1	0	3	1
XM_027236922.2	2482	2479.76	1124.91	2970.36	2501.58	1762.22	1845.86	1468.09	2909.81	1192.86	895.734	1772.68	2833.59	3245.62	1022.84
XR_011813446.1	236.993	162.618	216.231	161.854	269.35	181.48	271.794	306.197	210.066	134.756	120.22	184.688	250.79	190.895	218.423
XM_027233332.2	166.917	288.883	177.677	176.31	304.208	190.148	159.518	244.817	219.564	188.733	162.696	256.289	257.019	247.828	164.146
XM_027240117.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027235121.2	1367.22	1545.23	1828.08	1168.69	1931.87	987.986	1218.15	1988.28	1365.3	943.616	693.733	1158.59	1496.33	1747.58	1287.94
XM_072073810.1	171.749	88.508	95.359	95.169	78.871	156.087	167.237	166.17	121.957	115.881	145.088	185.308	165.698	181.64	86.848
XM_072066558.1	34	47.756	19.069	27.003	28	35.035	16	11.007	16.707	8	9	55.016	23	5	17.002
XM_027233341.2	1153.04	1321	1574.67	1136.57	1688.99	1391.58	1214.08	1299.53	957.869	1201.26	1353.96	1460.1	1474.13	1388.29	1118.31
XM_027233342.2	78.173	100.079	69.625	54.618	71.877	18.913	139.865	44.568	97.055	43.703	42.405	64.516	90.448	176.411	51.282
XM_027215073.2	281.125	502.024	374.173	334.562	529.71	459.321	469.886	421.033	382.453	279.361	275.968	323.003	302.87	423.583	261.397
XM_027233375.2	282	277.034	117.009	266.854	115.008	119.431	193.076	112.016	235.347	64.002	186.044	258.763	285.506	566.725	84.075
XM_027239240.2	5433	7351.61	7004.84	5333.58	8441.55	5665.21	4353.57	7216.92	5041.66	6023.1	6429.43	6766.21	5027.88	5851.29	5038.94
XM_072052624.1	1142.64	1235.67	938.538	1163.74	1506.78	1326.42	1917.18	2321.64	1143.34	838.046	1077.32	1489.45	1184.58	1783.67	1100.52
XM_027233391.2	718.324	458.084	604.415	507.99	593.497	707.179	519.731	739.822	368.733	480.239	584.124	602.109	685.721	594.548	496.565
XM_072069744.1	0	0	0	166.602	0	150.088	132.541	118.072	284.292	0	0	0	0	0	238.013
XM_027208005.2	305.122	258.476	206.344	68.08	101.576	144.128	371.272	549.776	175.159	1022.02	55.662	180.458	350.952	307.212	248.067
XR_011813528.1	0	29.996	30.04	19.103	26.067	40.327	32.89	20.991	23.772	39.343	32.823	28.915	12.363	126.854	0
XM_027256435.2	122	113.344	42.008	224.435	82	19	63.437	120.107	135.182	25.652	38	95.547	135.441	155.254	24
XM_027233411.2	969.946	1192.88	1383.02	965.946	1360.96	1162.3	889.666	1134.69	801.748	1010.32	916.858	1247.04	1131.22	1056.2	1009.69
XM_027228998.2	217	239.331	99.003	128.127	220.945	59.122	154.001	99.021	217.072	78	157.796	134.49	180.397	846.583	160.43
XM_027241086.2	4339	3380.06	2357.96	4289.97	3216	2694.96	3908.76	3347.28	4110.67	1803.6	2645.76	4375.27	5667.93	7256.56	1842.55
XM_027228540.2	96.347	116.855	62.383	8.839	12.447	37.885	63.138	90.747	14.186	169.411	6.514	40.002	114.162	90.994	72.824
XM_027208435.2	19.395	217.822	546.214	382.8	364.711	254.301	269.284	829.97	75.246	180.167	566.785	395.008	859.19	559.858	192.704
XM_027233419.2	1093	774.996	302.817	1889.61	970.853	398.895	652.359	923.843	804.238	214.406	349.334	806.718	1623.29	931.346	198.194
XM_027270736.2	7143	8283.75	8245.32	6482.85	8212.56	5346.76	7950.64	11968.3	7969.75	6750.74	5273.99	6947.35	11285.6	11664.3	6879.25
XM_027233425.2	154.19	59.678	115.005	66.722	96.587	89.775	177.271	129.499	110.743	119.504	182.81	145.582	138.488	146.333	40.752
XM_027219036.2	0	27.803	26.441	15.835	20.176	0	0	20.924	33.033	0	38.72	20.763	23.094	18.006	25.997
XR_011815497.1	0	53.322	2	18.151	31	4	0	0	0	14	13	29	4	0	0
XM_027241171.2	86.149	120.81	34.706	115.118	79.228	86.688	49.789	44	62.034	55.03	18.012	130.105	74.296	77.948	33.945
XM_027231267.2	884.562	528.325	506.974	770.525	354.863	518.518	863.823	930.494	638.337	347.066	121.95	635.569	1077.31	390.087	828.752
XM_027233450.2	1568.95	1730.32	1145.96	1046.74	1862.59	1378.41	343.096	641.424	1512.89	858.987	749.928	1274.67	1064.05	1255.66	1278.62
